Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1733 GRANT ST #J,RENTED - Rented or Available,11/1/15,"$2,000.00","Appliances, Garbage, Gas, Laundry Access, Water",# Bed: 2# Occ: 1
1733 GRANT ST #K,RENTED - Rented or Available,9/1/15,"$2,000.00","Appliances, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1733 GRANT ST #L,RENTED - Rented or Available,10/1/15,"$1,900.00","Appliances, Garbage, Gas, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1733 GRANT ST #M,RENTED - Rented or Available,5/31/80,$985.35,"Appliances, Garbage, Gas, Laundry Access, Parking, Sewer, Storage, Water",# Bed: 2# Occ: 0
1737 GRANT ST,OOCC - Owner Occupied since 1/1/1987,n/a,n/a,"Garbage, Parking, Storage",n/a
1904 GRANT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Parking,n/a
1905 GRANT ST,OOCC - Owner Occupied since 12/5/1990,n/a,n/a,(no active services),n/a
1906 GRANT ST,"CHSFD - Single family, C-H exempt since 12/6/2001",n/a,n/a,Parking,n/a
1918 GRANT ST #1,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,"Garbage, Water",n/a
1918 GRANT ST #2,RENTED - Rented or Available,11/14/10,"$1,251.12","Appliances, Garbage, Water",# Bed: 1# Occ: 2
1918 GRANT ST #3,RENTED - Rented or Available,8/10/97,$806.62,"Garbage, Storage, Water",# Bed: 1# Occ: 0
1918 GRANT ST #4,RENTED - Rented or Available,5/31/80,$610.00,"Garbage, Storage, Water",# Bed: 1# Occ: 0
1922 GRANT ST #1,RENTED - Rented or Available,12/1/15,$700.00,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
1922 GRANT ST #2,RENTED - Rented or Available,12/1/15,$900.00,"Appliances, Garbage, Water",# Bed: 1# Occ: 2
1922 GRANT ST #3,RENTED - Rented or Available,12/1/15,"$1,000.00","Appliances, Garbage, Water",# Bed: 2# Occ: 2
1922 GRANT ST #4,RENTED - Rented or Available,8/1/15,$700.00,"Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
1922 GRANT ST #5,RENTED - Rented or Available,12/1/15,"$1,800.00","Appliances, Garbage, Water",# Bed: 3# Occ: 4
1933 GRANT ST,"CHSFD - Single family, C-H exempt since 12/1/2007",n/a,n/a,Garbage,n/a
2012 GRANT ST #1,RENTED - Rented or Available,3/18/12,"$1,316.13","Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 2
2012 GRANT ST #2,RENTED - Rented or Available,5/31/80,$641.55,"Appliances, Garbage, Sewer, Water",# Bed: 1# Occ: 0
2012 GRANT ST #3,RENTED - Rented or Available,12/28/11,"$1,499.11","Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 2
2012 GRANT ST #4,RENTED - Rented or Available,4/8/12,"$1,316.13","Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 1
2016 GRANT ST,RENTED - Rented or Available,8/1/14,"$3,146.50","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2016 GRANT ST #A,RENTED - Rented or Available,4/1/14,"$2,030.00","Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2017 GRANT ST,OOCC - Owner Occupied since 12/5/1990,n/a,n/a,(no active services),n/a
2103 GRANT ST #1,RENTED - Rented or Available,9/1/04,"$1,040.58","Garbage, Sewer, Water",# Bed: 0# Occ: 1
2103 GRANT ST #2,RENTED - Rented or Available,3/1/15,"$1,450.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 0# Occ: 1
2103 GRANT ST #3,RENTED - Rented or Available,7/9/15,"$1,600.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 0# Occ: 1
2103 GRANT ST #4,RENTED - Rented or Available,6/18/13,"$1,449.42","Appliances, Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2103 GRANT ST #5,RENTED - Rented or Available,3/15/16,"$1,650.00","Appliances, Garbage, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
2103 GRANT ST #6,RENTED - Rented or Available,1/15/12,"$1,052.90","Garbage, Laundry Access, Parking, Water",# Bed: 0# Occ: 1
2107 GRANT ST,OOCC - Owner Occupied since 7/1/1988,n/a,n/a,(no active services),n/a
2108 GRANT ST,"CHSFD - Single family, C-H exempt since 6/15/2001",n/a,n/a,Parking,n/a
2110 GRANT ST,OOCC - Owner Occupied since 2/1/2013,n/a,n/a,"Cable TV, Furnishings, Garbage, Laundry Access, Other, Water",n/a
2112 GRANT ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
2112 GRANT ST #A,OOCC - Owner Occupied since 4/1/1994,n/a,n/a,(no active services),n/a
2114 GRANT ST,RENTED - Rented or Available,9/1/11,"$1,820.36","Appliances, Garbage, Laundry Access, Other, Parking, Storage",# Bed: 1# Occ: 2
2114 GRANT ST #A,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
2116 GRANT ST,OOCC - Owner Occupied since 7/30/2002,n/a,n/a,Garbage,n/a
2115 GRANT ST #A,OOCC - Owner Occupied since 6/27/1991,n/a,n/a,(no active services),n/a
2115 GRANT ST #B,OOCC - Owner Occupied since 7/26/1990,n/a,n/a,(no active services),n/a
2115 GRANT ST #C,RENTED - Rented or Available,7/1/15,"$1,500.00","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2115 GRANT ST #D,RENTED - Rented or Available,1/24/03,"$1,198.73","Garbage, Sewer, Water",# Bed: 1# Occ: 1
2120 GRANT ST #1,RENTED - Rented or Available,1/1/15,"$2,870.84","Cable TV, Electricity, Furnishings, Garbage, Gas, Laundry Access, Other, Parking, Water",# Bed: 1# Occ: 2
2120 GRANT ST #2,RENTED - Rented or Available,1/1/15,"$2,870.84","Cable TV, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Parking, Water",# Bed: 2# Occ: 2
2120 GRANT ST #3,RENTED - Rented or Available,1/1/15,"$2,870.84","Cable TV, Electricity, Furnishings, Garbage, Gas, Laundry Access, Other, Parking, Water",# Bed: 2# Occ: 2
2120 GRANT ST #4,RENTED - Rented or Available,1/1/15,"$2,870.84","Cable TV, Electricity, Furnishings, Garbage, Gas, Laundry Access, Other, Parking, Water",# Bed: 2# Occ: 2
2120 GRANT ST #5,RENTED - Rented or Available,5/1/14,"$2,748.97","Cable TV, Electricity, Garbage, Gas, Laundry Access, Other, Water",# Bed: 2# Occ: 2
2120 GRANT ST #6,RENTED - Rented or Available,9/3/14,"$2,748.97","Cable TV, Electricity, Garbage, Gas, Laundry Access, Other, Parking, Water",# Bed: 2# Occ: 2
2120 GRANT ST #7,RENTED - Rented or Available,3/1/09,"$1,299.36","Garbage, Parking, Water",# Bed: 2# Occ: 1
2120 GRANT ST #8,RENTED - Rented or Available,5/31/80,$794.67,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 0
2120 GRANT ST #9,RENTED - Rented or Available,9/1/12,"$3,674.62","Garbage, Other, Parking, Water",# Bed: 3# Occ: 3
2133 GRANT ST #1,RENTED - Rented or Available,8/1/15,"$3,795.00","Appliances, Laundry Access",# Bed: 2# Occ: 3
2133 GRANT ST #2,RENTED - Rented or Available,6/1/15,"$2,250.00",Appliances,# Bed: 1# Occ: 2
2133 GRANT ST #3,RENTED - Rented or Available,8/1/15,"$3,050.00","Appliances, Laundry Access",# Bed: 2# Occ: 2
2133 GRANT ST #4,RENTED - Rented or Available,8/1/15,"$2,470.00","Appliances, Laundry Access",# Bed: 1# Occ: 2
2133 GRANT ST #5,RENTED - Rented or Available,6/4/15,"$2,095.00",Appliances,# Bed: 1# Occ: 2
2133 GRANT ST #6,RENTED - Rented or Available,7/1/15,"$1,795.00",Appliances,# Bed: 0# Occ: 1
2133 GRANT ST #7,RENTED - Rented or Available,8/1/15,"$2,470.00","Appliances, Laundry Access",# Bed: 1# Occ: 2
2133 GRANT ST #8,RENTED - Rented or Available,6/15/16,"$2,395.00",(no active services),# Bed: 2# Occ: 2
2133 GRANT ST #9,RENTED - Rented or Available,8/1/14,"$2,024.93",Appliances,# Bed: 1# Occ: 2
2139 GRANT ST #1,RENTED - Rented or Available,6/1/14,"$2,532.43",Appliances,# Bed: 2# Occ: 2
2139 GRANT ST #2,RENTED - Rented or Available,7/1/14,"$2,486.75",Appliances,# Bed: 2# Occ: 2
2139 GRANT ST #3,RENTED - Rented or Available,8/10/13,"$2,329.43",Appliances,# Bed: 2# Occ: 2
2139 GRANT ST #4,RENTED - Rented or Available,3/10/16,"$2,795.00",Appliances,# Bed: 2# Occ: 3
2139 GRANT ST #5,RENTED - Rented or Available,6/1/16,"$3,495.00",(no active services),# Bed: 2# Occ: 4
2139 GRANT ST #6,RENTED - Rented or Available,8/1/13,"$2,479.54",Appliances,# Bed: 2# Occ: 2
2145 GRANT ST,"CHSFD - Single family, C-H exempt since 1/1/1999",n/a,n/a,"Electricity, Garbage, Gas, Laundry Access, Parking, Storage, Water",n/a
2199 GRANT ST #1,RENTED - Rented or Available,5/5/12,"$1,526.70","Appliances, Garbage, Gas, Laundry Access, Water",# Bed: 2# Occ: 2
2199 GRANT ST #2,RENTED - Rented or Available,2/13/15,"$1,900.00","Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2# Occ: 2
2199 GRANT ST #3,RENTED - Rented or Available since 7/1/1997,n/a,$678.30,(no active services),# Bed: 2
2199 GRANT ST #4,RENTED - Rented or Available,11/1/13,"$1,604.72","Garbage, Gas, Laundry Access, Water",# Bed: 2# Occ: 2
2199 GRANT ST #5,RENTED - Rented or Available,7/16/13,"$1,604.72","Appliances, Garbage, Gas, Laundry Access, Water",# Bed: 2# Occ: 3
2211 GRANT ST,OOCC - Owner Occupied since 6/1/2006,n/a,n/a,"Garbage, Water",n/a
2213 GRANT ST #A,RENTED - Rented or Available,3/3/12,"$2,000.51",Garbage,# Bed: 2# Occ: 3
2213 GRANT ST #B,OOCC - Owner Occupied since 4/2/2010,n/a,n/a,"Garbage, Other",n/a
2214 GRANT ST,OOCC - Owner Occupied since 8/1/1990,n/a,n/a,(no active services),n/a
2214 GRANT ST #1/2,OOCC - Owner Occupied since 8/1/1990,n/a,n/a,(no active services),n/a
2215 GRANT ST #1,RENTED - Rented or Available,12/1/97,"$1,050.36","Garbage, Other, Sewer, Water",# Bed: 1# Occ: 2
2215 GRANT ST #2,RENTED - Rented or Available,10/1/14,$507.50,"Appliances, Garbage, Laundry Access, Other, Water",# Bed: 1# Occ: 1
2215 GRANT ST #3,RENTED - Rented or Available,8/27/15,"$1,319.50","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2215 GRANT ST #4,RENTED - Rented or Available,10/23/15,"$2,900.00","Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 1
2215 GRANT ST #5,RENTED - Rented or Available,2/10/16,"$2,380.00","Electricity, Garbage, Gas, Heat, Laundry Access, Storage, Water",# Bed: 2# Occ: 2
2218 GRANT ST,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
2222 GRANT ST,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
2224 GRANT ST #A,RENTED - Rented or Available,8/7/15,"$1,700.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
2224 GRANT ST #B,RENTED - Rented or Available,5/21/14,"$1,421.00","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2224 GRANT ST #C,RENTED - Rented or Available,3/17/12,"$1,263.48","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2224 GRANT ST #D,RENTED - Rented or Available,2/10/12,"$1,421.42","Appliances, Garbage, Laundry Access, Storage, Water",# Bed: 1# Occ: 2
2224 GRANT ST #E,OOCC - Owner Occupied since 11/1/1985,n/a,n/a,"Garbage, Laundry Access, Storage, Water",n/a
2233 GRANT ST #1,RENTED - Rented or Available,4/10/13,"$1,397.66","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2233 GRANT ST #2,RENTED - Rented or Available,2/15/13,"$1,423.54","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2233 GRANT ST #3,RENTED - Rented or Available since 6/6/2007,n/a,"$1,438.77","Garbage, Laundry Access, Parking, Water",# Bed: 1
2233 GRANT ST #4,RENTED - Rented or Available,5/1/09,"$1,177.72","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
2233 GRANT ST #5,RENTED - Rented or Available,5/1/11,"$1,499.11","Garbage, Parking, Water",# Bed: 2# Occ: 2
2233 GRANT ST #6,RENTED - Rented or Available,3/22/13,"$1,811.78","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2233 GRANT ST #7,RENTED - Rented or Available,4/1/13,"$1,915.31","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2233 GRANT ST #8,RENTED - Rented or Available since 1/5/1986,n/a,$831.45,"Garbage, Laundry Access, Parking, Water",# Bed: 1
2233 GRANT ST #9,RENTED - Rented or Available,2/15/13,"$1,449.42","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2233 GRANT ST #10,(~) MISC - Exempt-Misc since 6/1/2010,n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
2233 GRANT ST #11,RENTED - Rented or Available,3/10/16,"$1,750.00","Appliances, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 1
2233 GRANT ST #12,RENTED - Rented or Available,5/25/15,"$1,750.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2233 GRANT ST #13,RENTED - Rented or Available,12/1/12,"$1,684.64","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 1
2233 GRANT ST #14,RENTED - Rented or Available since 5/16/1996,n/a,"$1,113.56","Garbage, Laundry Access, Parking, Water",# Bed: 2
2233 GRANT ST #15,RENTED - Rented or Available,5/6/13,"$1,967.07","Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2233 GRANT ST #16,RENTED - Rented or Available since 9/1/1993,n/a,$797.46,"Garbage, Laundry Access, Parking, Water",# Bed: 1
2233 GRANT ST #17,RENTED - Rented or Available,7/1/97,"$1,011.96","Garbage, Laundry Access, Parking, Water",# Bed: 1# Occ: 0
2233 GRANT ST #18,RENTED - Rented or Available,3/17/16,"$1,995.00","Appliances, Cable TV, Garbage, Gas, Heat, Laundry Access, Water",# Bed: 1# Occ: 2
2233 GRANT ST #19,RENTED - Rented or Available,2/1/12,$947.61,"Garbage, Parking, Water",# Bed: 1# Occ: 1
2302 GRANT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
2304 GRANT ST #A,(~) MISC - Exempt-Misc since 12/1/2003,n/a,n/a,"Garbage, Water",n/a
2304 GRANT ST #B,RENTED - Rented or Available,8/1/13,"$1,708.25","Garbage, Parking, Water",# Bed: 2# Occ: 1
2304 GRANT ST #C,RENTED - Rented or Available since 8/14/2014,n/a,"$1,650.00","Garbage, Water",# Bed: 2
2304 GRANT ST #D,RENTED - Rented or Available,8/22/05,"$1,121.90","Appliances, Garbage, Heat, Laundry Access, Parking, Water",# Bed: 1# Occ: 2
2304 GRANT ST #E,RENTED - Rented or Available since 3/1/1994,n/a,$609.28,"Garbage, Parking",# Bed: 1
2304 GRANT ST #F,RENTED - Rented or Available,10/1/14,"$1,776.25","Garbage, Water",# Bed: 2# Occ: 2
2304 GRANT ST #G,RENTED - Rented or Available,7/1/02,"$1,942.67","Garbage, Water",# Bed: 2# Occ: 3
2304 GRANT ST #H,RENTED - Rented or Available,6/1/06,"$1,496.34","Appliances, Garbage, Heat, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
2304 GRANT ST #J,RENTED - Rented or Available since 4/30/2007,n/a,"$1,457.93","Garbage, Water",# Bed: 1
2304 GRANT ST #K,RENTED - Rented or Available since 9/1/2006,n/a,"$1,093.48","Appliances, Garbage, Heat, Laundry Access, Parking, Water",# Bed: 1
2304 GRANT ST #L,RENTED - Rented or Available since 3/1/1994,n/a,$703.99,"Garbage, Parking, Water",# Bed: 2
2310 GRANT ST #NORTH,OOCC - Owner Occupied since 8/1/1990,n/a,n/a,(no active services),n/a
2310 GRANT ST #SOUTH,OOCC - Owner Occupied since 8/1/1990,n/a,n/a,(no active services),n/a
2315 GRANT ST #1,RENTED - Rented or Available,9/5/16,"$2,690.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2315 GRANT ST #2,RENTED - Rented or Available,5/31/80,$754.12,(no active services),# Bed: 0# Occ: 0
2315 GRANT ST #3,RENTED - Rented or Available,9/5/16,"$2,140.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2315 GRANT ST #4,RENTED - Rented or Available,1/18/16,"$2,160.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2315 GRANT ST #5,RENTED - Rented or Available,10/1/15,"$2,640.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
2315 GRANT ST #6,RENTED - Rented or Available,7/19/13,"$1,320.01","Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2315 GRANT ST #7,RENTED - Rented or Available,8/5/15,"$1,740.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2315 GRANT ST #8,RENTED - Rented or Available,2/1/97,$794.44,(no active services),# Bed: 1# Occ: 0
2319 GRANT ST #1,RENTED - Rented or Available,3/1/15,"$1,700.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2319 GRANT ST #2,RENTED - Rented or Available,12/1/15,"$1,515.00","Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2319 GRANT ST #3,RENTED - Rented or Available,8/25/08,"$1,672.40","Laundry Access, Water",# Bed: 1# Occ: 2
2319 GRANT ST #4,RENTED - Rented or Available,11/18/14,"$1,700.13","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2319 GRANT ST #5,RENTED - Rented or Available,1/16/16,"$2,540.00","Garbage, Laundry Access, Water",# Bed: 2# Occ: 2
2319 GRANT ST #6,RENTED - Rented or Available,4/1/15,"$1,340.00","Garbage, Laundry Access, Water",# Bed: 0# Occ: 1
2319 GRANT ST #7,RENTED - Rented or Available,11/5/14,"$1,725.50",(no active services),# Bed: 1# Occ: 2
2319 GRANT ST #8,RENTED - Rented or Available,11/1/15,"$2,140.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
2321 GRANT ST,RENTED - Rented or Available,7/22/10,"$2,067.62","Garbage, Laundry Access, Storage",# Bed: 3# Occ: 3
2323 GRANT ST,RENTED - Rented or Available,2/15/06,"$2,417.15","Appliances, Garbage",# Bed: 3# Occ: 2
2330 GRANT ST #A,RENTED - Rented or Available,1/1/87,$815.42,"Garbage, Water",# Bed: 1# Occ: 0
2330 GRANT ST #B,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Garbage, Water",n/a
2330 GRANT ST #C,RENTED - Rented or Available,5/31/80,$836.12,"Garbage, Water",# Bed: 1# Occ: 0
2330 GRANT ST #D,RENTED - Rented or Available,1/15/15,"$2,350.00","Garbage, Laundry Access, Water",# Bed: 0# Occ: 2
2333 GRANT ST #1,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
2333 GRANT ST #2,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
2333 GRANT ST #3,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,Garbage,n/a
2333 GRANT ST #4,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
2333 GRANT ST #5,OOCC - Owner Occupied since 5/15/1991,n/a,n/a,(no active services),n/a
2337 GRANT ST #REAR,RENTED - Rented or Available since 1/1/2006,n/a,"$1,667.91","Garbage, Laundry Access, Water",# Bed: 2
2337 GRANT ST #LOWER,RENTED - Rented or Available,4/1/10,"$2,175.86","Garbage, Water",# Bed: 2# Occ: 3
2337 GRANT ST #UPPER,RENTED - Rented or Available,4/1/12,"$2,621.72","Garbage, Water",# Bed: 4# Occ: 2
2340 GRANT ST,NAR - Not Available for Rent since 10/1/2005,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
2340 GRANT ST #A,(~) MISC - Exempt-Misc since 7/29/2003,n/a,n/a,(no active services),n/a
2340 GRANT ST #B,RENTED - Rented or Available,5/31/80,$740.31,"Garbage, Parking, Storage",# Bed: 2# Occ: 0
2340 GRANT ST #C,RENTED - Rented or Available,7/1/13,"$1,863.54","Garbage, Parking",# Bed: 2# Occ: 2
2340 GRANT ST #D,RENTED - Rented or Available,2/1/15,"$2,400.00",Garbage,# Bed: 2# Occ: 2
2341 GRANT ST,OOCC - Owner Occupied since 9/1/2000,n/a,n/a,(no active services),n/a
2406 GRANT ST,OOCC - Owner Occupied since 7/1/1994,n/a,n/a,(no active services),n/a
2411 GRANT ST,OOCC - Owner Occupied since 7/25/1987,n/a,n/a,(no active services),n/a
2411 GRANT ST #A,OOCC - Owner Occupied since 7/25/1987,n/a,n/a,"Garbage, Water",n/a
2411 GRANT ST #B,OOCC - Owner Occupied since 4/1/1996,n/a,n/a,"Garbage, Water",n/a
2417 GRANT ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
2418 GRANT ST,OOCC - Owner Occupied since 12/6/1995,n/a,n/a,(no active services),n/a
2422 GRANT ST #A,RENTED - Rented or Available,8/15/14,"$2,024.93",Garbage,# Bed: 2# Occ: 2
2422 GRANT ST #B,RENTED - Rented or Available,6/1/14,"$2,024.93",Garbage,# Bed: 2# Occ: 3
2422 GRANT ST #C,RENTED - Rented or Available,12/1/06,"$1,488.29",Garbage,# Bed: 2# Occ: 1
2422 GRANT ST #D,RENTED - Rented or Available,6/1/15,"$3,095.00",Garbage,# Bed: 3# Occ: 3
2422 GRANT ST #E,RENTED - Rented or Available,6/1/14,"$2,024.93",Garbage,# Bed: 2# Occ: 2
2422 GRANT ST #F,RENTED - Rented or Available,8/1/15,"$2,195.00",Garbage,# Bed: 2# Occ: 4
2422 GRANT ST #G,RENTED - Rented or Available since 6/1/1994,n/a,$995.84,"Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2
2425 GRANT ST #A,RENTED - Rented or Available,3/5/04,"$1,367.61","Garbage, Parking",# Bed: 2# Occ: 3
2425 GRANT ST #B,RENTED - Rented or Available,7/1/15,"$2,950.00","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 1
2425 GRANT ST #C,RENTED - Rented or Available,7/10/16,"$3,000.00","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 4
2425 GRANT ST #D,RENTED - Rented or Available,12/8/15,"$3,000.00",Garbage,# Bed: 2# Occ: 1
2425 GRANT ST #E,RENTED - Rented or Available,8/13/16,"$2,995.00","Appliances, Garbage, Laundry Access",# Bed: 1# Occ: 4
2425 GRANT ST #F,RENTED - Rented or Available,8/9/13,"$1,345.89","Appliances, Garbage, Heat, Laundry Access",# Bed: 2# Occ: 3
2425 GRANT ST #G,RENTED - Rented or Available,3/7/15,"$2,495.00","Appliances, Garbage, Laundry Access, Parking",# Bed: 2# Occ: 1
2425 GRANT ST #H,RENTED - Rented or Available,10/8/15,"$2,750.00",Garbage,# Bed: 2# Occ: 2
2425 GRANT ST #J,RENTED - Rented or Available,9/16/16,"$2,750.00","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 1
2426 GRANT ST #1,RENTED - Rented or Available,5/1/10,"$1,414.31","Garbage, Laundry Access, Parking, Sewer",# Bed: 2# Occ: 2
2426 GRANT ST #2,RENTED - Rented or Available,9/15/16,"$1,500.00","Appliances, Garbage, Laundry Access, Parking, Sewer",# Bed: 0# Occ: 1
2426 GRANT ST #3,RENTED - Rented or Available,7/20/13,"$1,449.42","Garbage, Sewer",# Bed: 2# Occ: 2
2426 GRANT ST #4,RENTED - Rented or Available,11/1/12,"$1,421.42","Appliances, Garbage, Laundry Access, Parking, Sewer",# Bed: 2# Occ: 2
2426 GRANT ST #5,RENTED - Rented or Available,9/1/02,$808.89,"Garbage, Laundry Access, Parking, Sewer",# Bed: 1# Occ: 2
2426 GRANT ST #6,(~) MISC - Exempt-Misc since 7/1/2009,n/a,n/a,"Garbage, Laundry Access, Parking",n/a
2426 GRANT ST #7,RENTED - Rented or Available,12/19/12,"$1,421.42","Appliances, Garbage, Laundry Access, Parking, Sewer",# Bed: 2# Occ: 2
2426 GRANT ST #8,RENTED - Rented or Available,9/1/11,"$1,177.88","Appliances, Garbage, Laundry Access, Parking, Sewer",# Bed: 2# Occ: 2
2431 GRANT ST #1,RENTED - Rented or Available,6/1/07,"$2,196.20","Garbage, Water",# Bed: 3# Occ: 1
2431 GRANT ST #2,RENTED - Rented or Available,5/31/80,"$1,186.89","Garbage, Gas, Laundry Access, Water",# Bed: 3# Occ: 0
2431 GRANT ST #3,RENTED - Rented or Available,2/1/15,"$1,595.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2431 GRANT ST #4,RENTED - Rented or Available,2/1/13,"$1,087.07","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
